rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
14880952	2	1	native	no-touch	0	True	14290436.6	0.039655	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171637Z_xdp_drop_14880952.json
14880952	2	2	skb	no-touch	0	True	1242872.8	0.916463	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171725Z_xdp_drop_14880952.json
14880952	2	3	skb	read-data	0	True	1244445.8	0.916253	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171813Z_xdp_drop_14880952.json
14880952	2	4	native	read-data	0	True	8365802.4	0.437796	1.0	0.0	0.0	0.0	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171900Z_xdp_drop_14880952.json
12000000	2	1	native	read-data	1	True	10959787.2	0.086687	1.0	291.39	0.4009	0.0741	0.3409	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T171948Z_xdp_drop_12000000.json
12000000	2	2	skb	read-data	1	True	1248918.5	0.895926	1.0	2557.3	5.6708	0.3109	0.0647	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172036Z_xdp_drop_12000000.json
12000000	2	3	skb	no-touch	1	True	1252230.7	0.89565	1.0	2550.49	5.4015	0.2817	0.0645	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172124Z_xdp_drop_12000000.json
12000000	2	4	native	no-touch	1	True	11999975.3	0.0	1.0	246.02	0.371	0.083	0.0021	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172211Z_xdp_drop_12000000.json
12500000	2	1	native	read-data	1	True	8333068.5	0.333368	1.0	383.01	0.8917	0.0598	0.8864	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172259Z_xdp_drop_12500000.json
12500000	2	2	native	no-touch	1	True	12500141.9	0.0	1.0	244.86	0.6701	0.0755	0.001	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172347Z_xdp_drop_12500000.json
12500000	2	3	skb	no-touch	1	True	1246679.2	0.899712	1.0	2561.85	5.3188	1.2065	0.0632	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172435Z_xdp_drop_12500000.json
12500000	2	4	skb	read-data	1	True	1221726.6	0.902073	1.0	2614.15	5.0476	1.1526	0.0633	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172522Z_xdp_drop_12500000.json
1500000	2	1	skb	read-data	1	True	1239783.7	0.173477	1.0	2576.1	5.0624	1.1548	0.0632	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172610Z_xdp_drop_1500000.json
1500000	2	2	native	read-data	1	True	1499941.2	0.0	1.0	573.07	1.1175	0.0889	0.8964	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T172657Z_xdp_drop_1500000.json
